Iterations,Average Moves L,Average Moves O,Average Moves R,R Moves w/ Full Restart
4850,228.6,1620,125.5,272.5
4855,296.2,1610,237.5,312.5
4860,276.1,1460,302.5,235
4865,268.1,250,325.5,250
4870,238.8,172.5,225.5,350
4875,138.9,1472.5,343,230
4880,286.3,320,310,420
4885,138.9,180,342.5,295
4890,138.7,192.5,342.5,342.5
4895,228.9,312.7,202.5,290
4900,247.4,290,172.5,380
4905,167.5,222.7,472.5,265
4910,246.2,252.5,195,277.5
4915,268,222.5,350,222.5
4920,229.3,240,295,275
4925,257.5,230,380,385
4930,147.5,340,360,410
4935,156.5,1620,302.5,312.5
4940,147.4,320,178,375
4945,276.4,1530,245,242.5
4950,237.4,322.7,215,425
4955,228.9,1640,198,325
4960,276.3,222.5,267.5,287.5
4965,276.5,280,460,292.5
4970,249,192.5,372.5,265
4975,229.2,260,253,402.5
4980,177.5,282.5,282.5,400
4985,267.4,230,183,335
4990,287.4,270,250,212.5
4995,267.1,302.5,147.5,380
5000,257.3,1590,202.5,162.5
5005,167.6,1670,352.5,320
5010,287.3,180,310,192.5
5015,267.6,370,125,272.5
5020,304.9,260,290,387.5
5025,228.9,1502.5,305,310
5030,206,410,287.5,452.5
5035,258.2,310,243,550
5040,268.3,1672.5,255,630
5045,286.1,1520,362.5,330
5050,228.7,232.5,318,290
5055,276,260,340,465
5060,237.6,290,160,232.5
5065,138.5,250,352.5,265
5070,247.8,1580,185,402.5
5075,238.9,290,330,392.5
5080,167.4,1600,252.5,192.5
5085,257.8,300,435,272.5
5090,258.8,290,280,285
5095,138.6,340,230,620
5100,237.6,440,312.5,517.5
5105,237.7,222.5,287.5,257.5
5110,121.8,200,235,332.5
5115,119.9,1502.5,480,540
5120,219.9,320,320,550
5125,58.9,330,252.5,400
5130,38.8,350,370,292.5
5135,186.2,300,440,240
5140,266.2,320,153,297.5
5145,297.2,220,230,577.5
5150,238.7,1532.5,402.5,222.5
5155,21.5,172.5,297.5,360
5160,30.2,380,340,420
5165,148.6,1532.5,243,410
5170,47.4,240,240,560
5175,258.6,1570,192.5,357.5
5180,138.9,330,345,395
5185,156.1,300,360,590
5190,258.9,340,238,292.5
5195,238.9,302.5,138,350
5200,128.4,380,215,227.5
5205,158.8,312.5,325,185
5210,38.5,190,288,192.5
5215,129,320,245,382.5
5220,286.2,260,315,352.5
5225,138.8,260,375,660
5230,158.7,370,145,167.5
5235,120.1,172.5,370,430
5240,297.2,280,282.5,322.5
5245,266,270,270,232.5
5250,130.1,290,360,300
5255,21.4,1510,202.5,525
5260,158.7,272.5,147.5,347.5
5265,157.6,212.5,200.5,257.5
5270,129.8,1732.5,322.5,335
5275,130,1482.5,228,267.5
5280,167.2,230,315,385
5285,128.6,320,255,180
5290,129.8,280,232.5,417.5
5295,129.7,222.5,147.5,500
5300,147.2,230,192.5,377.5
5305,128.6,250,372.5,510
5310,120,250,192.5,500
5315,129.9,332.5,312.5,360
5320,139,270,160,252.5
5325,157.4,1542.5,272.5,382.5
5330,148.7,180,317.5,282.5
5335,128.6,370,342.5,372.5
5340,158.9,260,210,362.5
5345,157.3,240,225.5,320
5350,148.4,202.5,198,462.5
5355,158.8,280,235,405
5360,29.8,400,117.5,300
5365,128.3,220,370,232.5
5370,29.7,1590,230,440
5375,148.6,240,317.5,390
5380,111.5,272.5,268,262.5
5385,128.7,310,262.5,300
5390,119.8,290,242.5,362.5
5395,149,260,130.5,312.5
5400,128.7,410,163,350
5405,119.8,220,350,310
5410,167.5,330,390,152.5
5415,148.3,300,375,420
5420,137.1,252.5,315.5,372.5
5425,139.8,1530,377.5,442.5
5430,157.5,290,267.5,270
5435,47.2,430,287.5,370
5440,119.8,1600,450,430
5445,146,212.5,295,400
5450,138.6,190,308,212.5
5455,119.8,340,325.5,260
5460,138.6,380,362.5,285
5465,129.9,350,335.5,272.5
5470,128.5,1580,272.5,312.5
5475,147,222.7,252.5,352.5
5480,128.6,1570,280,220
5485,129.7,155.2,380,270
5490,128.7,1600,342.5,442.5
5495,29.6,1542.5,342.5,192.5
5500,119.7,1630,342.5,342.5
5505,120.2,252.7,247.5,490
5510,129.9,382.7,315.5,342.5
5515,38.4,1590,392.5,340
5520,158.6,310,217.5,245
5525,21.1,290,167.5,232.5
5530,139.8,282.7,337.5,410
5535,21.2,290,187.5,370
5540,147.4,290,382.5,372.5
5545,30,360,370,172.5
5550,158.7,372.5,352.5,340
5555,140.1,310,335.5,392.5
5560,111.1,310,255,240
5565,38.4,265.2,292.9,422.5
5570,38.4,280,220.9,400
5575,129.9,370,220.9,270
5580,130.1,270,247.9,462.5
5585,119.9,360,185,220
5590,119.4,282.5,390,215
5595,137.4,310,307.9,482.5
5600,119.7,262.7,400,350
5605,129.8,330,275.5,210
5610,38.7,252.5,207.9,470
5615,137.4,230,205,520
5620,119.7,230,255,362.5
5625,38.5,252.7,262.9,330
5630,110.9,275.2,342.9,422.5
5635,38.3,212.7,382.5,405
5640,119.6,290,285.4,400
5645,119.8,232.7,282.9,272.5
5650,29.8,320,235.9,357.5
5655,29.8,330,350,310
5660,119.7,252.7,280,365
5665,137.5,292.7,353,425
5670,29.6,242.5,133.4,470
5675,119.5,292.7,230,430
5680,29.6,220,285.4,330
5685,137.1,180,295,470
5690,119.7,382.5,252.5,440
5695,119.6,230,402.5,232.5
5700,120.2,292.7,307.9,292.5
5705,110.8,350,237.9,400
5710,110.9,300,302.5,300
5715,137.4,190,307.9,472.5
5720,128.5,222.5,372.5,440
5725,110.9,250,392.5,320
5730,38.4,340,295.5,420
5735,119.8,400,255.4,300
5740,47.3,202.7,215,310
5745,111,372.7,202.5,500
5750,110.8,252.5,302.5,392.5
5755,128.3,250,275,410
5760,146.1,280,470,452.5
5765,120,272.5,395.4,412.5
5770,29.8,230,285.4,462.5
5775,30,330,312.5,292.5
5780,119.7,250,282.5,262.5
5785,38.7,230,342.5,430
5790,38.6,392.7,340,280
5795,128.5,220,255.4,510
5800,137.5,172.7,352.9,500
5805,47.1,260,353,290
5810,137.3,402.7,405,530
5815,120,310,382.9,362.5
5820,128.4,330,285,420
5825,119.8,290,320,430
5830,128.6,162.7,213,360
5835,119.8,350,272.5,422.5
5840,120,230,440,442.5
5845,111,170,245,210
5850,119.6,272.7,300,270
5855,119.8,300,265.5,190
5860,21.2,260,285,420
5865,128.6,390,245.5,480
5870,38.3,362.7,295,250
5875,137.2,292.7,178,312.5
5880,29.9,192.7,332.5,320
5885,119.5,290,242.5,250
5890,111.1,260,350,350
5895,128.6,212.7,208.4,190
5900,128.7,330,267.9,312.5
5905,38.6,390,295,312.5
5910,29.5,280,323,270
5915,111.1,170,202.5,422.5
5920,128.5,320,325,250
5925,119.9,250,242.5,340
5930,119.8,300,325,412.5
5935,128.5,230,375,380
5940,110.8,252.7,257.5,490
5945,38.6,490,220,200
5950,119.9,252.7,295.5,660
5955,38.4,242.7,292.5,550
5960,128.4,192.7,207.5,402.5
5965,128.6,430,165.5,340
5970,128.4,280,272.5,380
5975,137.3,290,470,312.5
5980,38.5,190,300,570
5985,29.8,200,385,290
5990,128.3,282.7,382.5,620
5995,21.1,382.7,472.5,360
6000,128.4,350,332.9,332.5
6005,119.7,250,292.5,452.5
6010,119.5,290,343,512.5
6015,29.5,162.7,362.5,380
6020,128.2,290,482.9,520
6025,128.7,370,362.9,190
6030,111.2,200,160.4,442.5
6035,128.2,230,192.5,422.5
6040,120,280,280,390
6045,137.2,260,375.5,342.5
6050,119.7,262.7,322.5,420
6055,119.3,270,235.4,330
6060,128.5,292.7,282.5,180
6065,128.7,190,350,460
6070,119.7,250,265,350
6075,119.8,220,295.9,660
6080,119.7,222.7,258,510
6085,128.3,332.7,215.4,460
6090,119.4,290,470,360
6095,128.6,400,190.4,330
6100,110.8,240,315,470
6105,110.9,220,192.5,410
6110,137.2,282.7,197.9,250
6115,119.7,262.7,172.5,340
6120,128.6,292.7,302.5,252.5
6125,119.4,260,238.4,252.5
6130,137.1,372.7,330,560
6135,119.8,210,200,332.5
6140,110.8,380,237.9,200
6145,110.7,220,322.5,600
6150,119.6,332.7,310,410
6155,119.7,280,335,510
6160,110.8,290,282.5,270
6165,110.8,282.7,312.5,310
6170,111.1,160,342.5,490
6175,128.3,410,207.5,342.5
6180,128.4,220,312.5,280
6185,146,390,172.9,470
6190,110.6,270,330,490
6195,137.2,372.7,180.5,460
6200,110.9,420,350,600
6205,29.3,370,390,335
6210,119.7,362.7,352.5,392.5
6215,119.7,300,302.5,170
6220,119.7,250,343,412.5
6225,110.9,200,245.4,270
6230,38.4,290,297.9,630
6235,21,190,205.9,290
6240,119.7,382.7,282.5,432.5
6245,119.6,332.7,390,160
6250,29.5,420,222.5,345
6255,21,222.7,295,250
6260,20.7,340,315,230
6265,20.7,280,440,272.5
6270,128.2,402.7,315.4,220
6275,11.7,302.7,340,350
6280,21.1,250,320,480
6285,12,332.7,280,302.5
6290,20.7,420,245.5,482.5
6295,119.3,290,225,390
6300,20.8,370,372.5,530
6305,119.4,320,277.9,350
6310,128.4,360,270.5,520
6315,119.5,430,160,340
6320,29.4,340,255,262.5
6325,20.7,280,298,350
6330,11.9,250,402.5,442.5
6335,20.8,270,240.9,450
6340,29.7,252.7,265,350
6345,110.8,302.7,343,420
6350,20.7,360,362.5,540
6355,119.5,340,275.5,432.5
6360,11.6,260,185,300
6365,128.6,240,175.4,282.5
6370,20.6,280,275,255
6375,20.6,362.7,322.5,352.5
6380,29.5,230,420,350
6385,29.9,300,192.9,460
6390,110.7,252.7,248.4,470
6395,119.3,352.7,220,360
6400,128,430,188,300
6405,110.8,360,225,310
6410,20.8,232.7,285,340
6415,20.8,340,175.4,220
6420,20.7,380,272.5,360
6425,20.8,260,225,252.5
6430,119.5,250,345.4,490
6435,110.9,360,350,352.5
6440,136.9,262.7,338.4,290
6445,20.6,250,335.4,430
6450,110.8,290,382.5,270
6455,20.4,270,307.5,450
6460,21,230,237.5,360
6465,20.8,310,185,310
6470,29.3,380,165,220
6475,29.2,380,322.5,302.5
6480,12.1,370,298.4,370
6485,20.6,270,222.5,270
6490,20.6,380,450,470
6495,29.6,272.7,395,430
6500,29.6,280,195.4,490
6505,20.9,320,405,372.5
6510,110.7,280,318.4,240
6515,20.4,272.7,385.4,340
6520,38.2,220,218.4,340
6525,11.7,210,185.4,250
6530,20.8,280,452.9,660
6535,38.2,340,372.5,300
6540,20.8,310,217.9,252.5
6545,29.4,250,147.5,560
6550,128.2,302.7,512.5,315
6555,20.6,392.7,228,382.5
6560,11.7,252.7,215.8,440
6565,20.5,240,375.4,272.5
6570,20.5,300,342.5,300
6575,110.7,310,335.4,250
6580,20.7,272.7,325,270
6585,29.7,232.7,490,310
6590,119.6,380,175.5,250
6595,38.5,290,365,470
6600,11.9,230,188.3,450
6605,110.4,470,277.9,360
6610,38.2,200,275,460
6615,20.6,340,285,502.5
6620,128.4,320,308,492.5
6625,29.3,300,245.4,390
6630,11.7,242.7,300,260
6635,38.4,250,235.4,260
6640,128.1,250,205.4,272.5
6645,20.4,222.7,242.5,245
6650,29.5,200,265.4,202.5
6655,119.3,252.7,268.3,410
6660,119.3,290,342.5,355
6665,11.7,310,395.4,240
6670,12.1,330,275.4,265
6675,119.5,300,355,400
6680,110.7,272.7,147.9,390
6685,11.5,390,262.9,390
6690,20.5,240,335.4,172.5
6695,11.9,240,220.4,380
6700,119.4,320,327.9,400
6705,20.5,272.7,295.4,320
6710,29.4,410,285,340
6715,20.7,260,172.5,392.5
6720,11.8,340,385.4,440
6725,20.6,340,300,362.5
6730,119.3,210,292.5,302.5
6735,20.9,312.7,280,300
6740,11.8,300,145,360
6745,29.3,352.7,302.5,352.5
6750,119.5,350,315.4,480
6755,128.2,270,302.5,332.5
6760,20.8,280,375,242.5
6765,20.5,420,320,182.5
6770,20.8,380,167.9,280
6775,119.6,330,412.5,240
6780,11.8,342.7,402.9,220
6785,29.5,290,332.5,380
6790,20.8,360,345.8,312.5
6795,20.9,382.7,317.9,382.5
6800,20.8,270,185,332.5
6805,29.4,180,270,330
6810,128,380,332.9,340
6815,20.6,300,382.5,252.5
6820,119.4,220,207.5,292.5
6825,11.6,190,232.5,450
6830,119.4,320,422.9,402.5
6835,29.3,302.7,390,340
6840,119.6,320,322.5,342.5
6845,110.6,262.7,395.4,552.5
6850,29.4,280,392.5,242.5
6855,29.4,302.7,240,305
6860,110.5,210,292.5,322.5
6865,110.5,270,192.9,270
6870,11.6,290,550,330
6875,20.5,280,188.3,192.5
6880,20.4,440,282.5,530
6885,119.2,330,352.5,260
6890,119.3,220,237.9,280
6895,20.4,320,255,292.5
6900,11.8,270,215,310
6905,20.4,210,250,502.5
6910,20.7,362.7,342.5,310
6915,20.5,192.7,240.4,280
6920,20.5,300,280,510
6925,20.7,300,312.5,320
6930,20.7,280,287.9,382.5
6935,11.7,170,320,570
6940,11.6,310,220,580
6945,11.8,292.7,442.9,420
6950,20.5,390,345,252.5
6955,29.4,382.7,275,462.5
6960,11.8,340,240,245
6965,11.8,300,217.9,550
6970,29.1,262.7,242.5,382.5
6975,29.3,312.7,325,370
6980,11.5,270,332.5,380
6985,12,330,315,490
6990,12.1,240,207.9,305
6995,20.3,360,375,222.5
7000,29.4,240,215.4,290
7005,20.4,210,450,200
7010,20.5,340,205,542.5
7015,29.4,332.7,342.5,352.5
7020,11.7,392.7,320,500
7025,11.6,352.7,425.4,310
7030,11.7,312.7,265.4,322.5
7035,11.9,242.7,325.4,550
7040,20.4,340,250,380
7045,12.1,282.7,495.4,222.5
7050,20.5,280,450,360
7055,29.4,300,402.9,350
7060,20.4,320,452.9,290
7065,29.3,202.7,332.5,490
7070,11.7,312.7,262.5,440
7075,20.3,370,245.4,292.5
7080,11.8,380,275,412.5
7085,20.4,320,257.9,220
7090,11.7,310,375.4,182.5
7095,20.4,340,177.9,312.5
7100,11.4,300,285,460
7105,11.8,272.7,478.3,250
7110,11.8,280,222.5,272.5
7115,11.6,310,247.5,290
7120,20.4,240,280,225
7125,11.7,272.7,235,332.5
7130,12,220,235.4,432.5
7135,11.7,300,320,350
7140,11.7,242.7,272.5,370
7145,20.5,240,420,260
7150,11.6,320,410,332.5
7155,20.8,290,260,310
7160,20.7,320,240,390
7165,20.4,320,235.4,310
7170,20.6,282.7,225,255
7175,11.8,330,302.5,280
7180,11.7,330,235.4,410
7185,11.5,270,252.9,260
7190,20.4,290,402.5,312.5
7195,20.5,262.7,265.4,340
7200,11.8,340,232.5,450
7205,11.8,290,395,360
7210,11.7,370,530,580
7215,11.8,330,355.8,340
7220,20.5,240,272.5,215
7225,11.7,290,352.5,310
7230,20.6,232.7,235.4,350
7235,20.4,160,225.4,332.5
7240,12,290,355.4,290
7245,20.4,252.7,152.5,342.5
7250,20.3,260,422.5,272.5
7255,11.8,210,325.4,310
7260,11.9,282.7,303.3,432.5
7265,20.3,310,262.5,460
7270,11.6,290,372.5,282.5
7275,20.3,280,400,300
7280,11.6,242.7,355,442.5
7285,11.7,272.7,268.3,330
7290,20.3,260,382.9,310
7295,20.3,280,157.9,480
7300,20.5,300,275,220
7305,20.7,282.7,192.9,560
7310,20.4,252.7,250,450
7315,20.5,192.7,327.5,340
7320,11.6,292.7,295.4,532.5
7325,11.4,252.7,432.9,252.5
7330,20.3,262.7,350,300
7335,11.7,250,185.4,280
7340,11.5,220,480,300
7345,20.6,392.7,275.4,400
7350,11.9,290,227.5,290
7355,20.6,232.7,300,342.5
7360,20.2,282.7,222.9,222.5
7365,11.4,260,432.9,390
7370,20.3,220,362.9,440
7375,11.8,270,362.5,280
7380,20.3,270,400,195
7385,11.7,360,262.5,390
7390,11.9,290,255,550
7395,11.7,282.7,440,242.5
7400,11.6,312.7,322.5,190
7405,11.5,310,415,240
7410,11.7,300,392.5,380
7415,20.1,260,292.5,340
7420,11.5,250,272.5,332.5
7425,11.5,282.7,325,235
7430,20.3,292.7,330,310
7435,11.7,252.7,252.9,202.5
7440,11.6,252.7,265,570
7445,20.5,160,237.9,330
7450,11.5,300,142.9,430
7455,20.3,300,340,432.5
7460,11.8,210,180.8,402.5
7465,11.6,370,285.4,440
7470,20.3,222.7,250,240
7475,20.3,230,162.5,402.5
7480,20.3,340,232.5,312.5
7485,20.2,220,365,432.5
7490,20.3,240,432.5,220
7495,11.7,340,490,340
7500,20.4,380,212.5,530
7505,20.2,400,282.5,340
7510,11.6,270,272.5,320
7515,20.4,252.7,482.5,370
7520,20.3,360,442.9,252.5
7525,11.5,222.7,255.8,300
7530,11.3,172.7,330,240
7535,11.5,250,255.4,220
7540,20.4,272.7,255.4,452.5
7545,11.6,340,230,490
7550,11.6,222.7,377.9,252.5
7555,20.4,340,395,362.5
7560,11.6,232.7,295,480
7565,20.1,212.7,330,290
7570,11.4,330,412.5,232.5
7575,20.4,252.7,510,550
7580,20.5,280,415,350
7585,11.7,252.7,332.5,320
7590,11.7,252.7,297.5,500
7595,11.7,282.7,360,380
7600,20.4,172.7,470,550
7605,20.3,350,370,330
7610,11.9,290,500,320
7615,11.5,235.4,396,210
7620,11.7,290,245,310
7625,20.5,332.7,153.3,300
7630,20.2,210,502.5,290
7635,11.5,270,370,330
7640,11.5,272.7,215,242.5
7645,20.3,282.7,255.4,292.5
7650,11.6,212.7,305.4,342.5
7655,20.4,300,207.9,212.5
7660,20.2,345.4,362.5,485
7665,20.1,180,440,270
7670,20.4,302.7,227.5,322.5
7675,11.4,292.7,208.3,340
7680,20.1,272.7,450,480
7685,20.4,212.7,275,310
7690,11.7,245.4,185,330
7695,20.3,222.7,385,470
7700,11.4,290,217.5,250
7705,20.5,265.4,492.5,412.5
7710,20.1,392.7,450,272.5
7715,11.6,312.7,170,270
7720,20.3,420,395.4,185
7725,11.6,255.4,337.9,422.5
7730,11.7,350,415,490
7735,20.3,302.7,460,290
7740,11.4,300,350,230
7745,11.5,282.7,352.5,202.5
7750,11.5,290,332.5,302.5
7755,11.4,222.7,285.4,530
7760,11.5,315.4,545,330
7765,20.2,222.7,472.5,380
7770,20.2,230,462.5,380
7775,11.6,380,392.9,320
7780,11.5,462.7,252.5,450
7785,20.3,290,297.9,300
7790,11.6,222.7,255.8,302.5
7795,11.6,310,360,302.5
7800,11.4,232.7,252.5,232.5
7805,20.3,312.7,442.5,290
7810,11.6,322.7,360,410
7815,20.5,245.4,290,200
7820,11.5,250,287.5,350
7825,20.4,262.7,372.5,360
7830,11.8,262.7,320,320
7835,11.5,302.7,365.4,540
7840,20.2,342.7,355.4,320
7845,11.6,232.7,520,182.5
7850,11.4,210,382.9,360
7855,11.4,290,287.9,292.5
7860,11.5,232.7,280,370
7865,20.2,232.7,402.9,512.5
7870,20.3,250,402.9,390
7875,20.3,322.7,350,352.5
7880,20.3,370,540,482.5
7885,20.1,272.7,430,430
7890,20.4,320,550,420
7895,20.3,292.7,402.9,290
7900,11.5,232.7,402.5,320
7905,20.3,202.7,510,550
7910,11.5,172.7,490,270
7915,11.4,320,352.5,350
7920,20.2,212.7,442.9,315
7925,11.5,292.7,217.9,210
7930,20.3,162.7,470,242.5
7935,11.4,370,245.4,450
7940,20.2,195.4,250.8,382.5
7945,11.6,292.7,390,370
7950,20.2,332.7,510,420
7955,20.3,172.7,202.5,350
7960,11.5,245.4,357.9,500
7965,20.1,282.7,390,345
7970,20.2,422.7,405.4,305
7975,20.2,270,385.4,330
7980,11.6,212.7,207.5,360
7985,11.5,362.7,232.5,212.5
7990,20.2,410,425.4,300
7995,20.1,192.7,332.9,562.5
8000,20.1,345.4,430,450
8005,11.4,202.7,295.4,440
8010,11.5,210,342.5,400
8015,20.3,315.4,450,400
8020,20.2,302.7,275.4,370
8025,11.5,312.7,332.9,362.5
8030,20.2,390,312.5,370
8035,11.4,210,352.5,410
8040,20.2,420,325,470
8045,20.2,250,282.5,420
8050,11.4,302.7,320,360
8055,11.4,290,432.5,322.5
8060,11.5,302.7,285,270
8065,20.3,300,352.5,432.5
8070,20.1,252.7,400,330
8075,20.2,362.7,405.4,312.5
8080,11.4,360,395.4,310
8085,11.3,222.7,332.5,550
8090,20.1,360,550,440
8095,11.4,282.7,212.5,240
8100,11.4,410,300,502.5
8105,11.4,265.4,415,350
8110,11.6,252.7,327.5,490
8115,20.4,272.7,352.9,490
8120,20.1,245.4,262.5,282.5
8125,11.3,255.4,417.5,560
8130,11.5,272.7,238.3,402.5
8135,11.4,1555.4,250,392.5
8140,20.2,282.7,450,620
8145,11.4,1540,425.4,612.5
8150,11.5,1540,360,480
8155,20.2,292.7,335,390
8160,11.6,220,350,185
8165,11.4,245.4,235.8,500
8170,20.2,202.7,282.9,435
8175,11.5,1515.4,335.4,272.5
8180,11.5,310,460,370
8185,20.3,1482.7,155.4,472.5
8190,20.2,152.7,382.5,360
8195,20.1,230,310,250
8200,11.5,230,352.5,200
8205,11.6,202.7,220.4,415
8210,11.5,250,182.5,420
8215,11.3,390,330,392.5
8220,20.2,1535.4,282.5,382.5
8225,20.2,320,292.5,632.5
8230,20.1,1575.4,332.9,500
8235,11.5,1465.4,370,320
8240,11.4,1495.4,202.5,450
8245,11.5,262.7,330,340
8250,20.1,202.7,225.4,220
8255,20.1,190,237.9,562.5
8260,20.2,272.7,270,430
8265,20.2,282.7,390,332.5
8270,11.5,195.4,460,400
8275,20.1,255.4,212.5,302.5
8280,20.1,282.7,362.5,470
8285,11.4,252.7,382.5,480
8290,11.3,260,255.4,280
8295,11.4,212.7,222.5,212.5
8300,20.1,212.7,232.9,480
8305,20.2,275.4,472.9,340
8310,20.2,200,435,440
8315,11.4,298.1,250,370
8320,11.5,1460,382.5,470
8325,20.3,1500,242.5,402.5
8330,11.5,220,380,250
8335,20.2,252.7,342.9,265
8340,20.2,235.4,352.9,270
8345,20,232.7,270,262.5
8350,20,250,555.4,570
8355,20.1,1482.7,290,190
8360,20,1452.7,330,190
8365,11.4,382.7,422.9,460
8370,11.3,202.7,270,472.5
8375,20.2,245.4,310,265
8380,11.5,330,272.9,230
8385,20.2,182.7,230,340
8390,11.5,172.7,230,470
8395,11.4,285.4,222.5,560
8400,11.4,352.7,390,340
8405,11.4,300,245.4,392.5
8410,20.2,202.7,232.5,490
8415,20.2,1482.7,185.4,252.5
8420,11.5,350,380,290
8425,20.2,200,332.5,382.5
8430,20.2,152.7,365,320
8435,20.1,1530,148.3,370
8440,11.3,190,397.9,450
8445,20.2,215.4,350,390
8450,20.3,195.4,295.4,300
8455,11.4,1532.7,382.5,312.5
8460,11.4,285.4,212.5,412.5
8465,11.5,202.7,402.5,350
8470,11.5,1540,218,342.5
8475,11.5,1525.4,250,420
8480,20.2,182.7,295.5,290
8485,20.2,220,362.9,402.5
8490,20.3,175.4,275.4,470
8495,20.2,232.7,353,312.5
8500,20.2,1570,175,340
8505,20.1,270,482.5,570
8510,11.6,252.7,272.5,342.5
8515,11.3,265.4,492.9,540
8520,11.4,1522.7,560,382.5
8525,20.2,185.4,510,360
8530,11.5,222.7,322.5,465
8535,20.3,205.4,405.4,280
8540,11.4,202.7,500,360
8545,20.2,295.4,410,270
8550,11.5,1502.7,247.9,530
8555,11.4,1522.7,195.5,460
8560,20.2,1490,197.5,442.5
8565,20.2,362.7,412.5,530
8570,20.2,205.4,322.9,440
8575,11.4,300,372.5,330
8580,11.4,270,242.9,270
8585,20.2,1540,222.5,142.5
8590,11.5,1532.7,290,515
8595,20.1,340,402.5,370
8600,20.2,302.7,292.9,502.5
8605,20.2,1580,340,430
8610,11.4,212.7,282.5,340
8615,20.3,1540,450,290
8620,11.6,1540,302.9,570
8625,20.3,235.4,402.5,370
8630,11.4,232.7,325,320
8635,20.2,322.7,407.9,350
8640,20.3,235.4,245.5,390
8645,20.3,302.7,285,440
8650,11.5,1542.7,248.3,520
8655,11.5,320,370,280
8660,20.1,372.7,317.9,450
8665,20.2,252.7,360,440
8670,20.3,222.7,500,330
8675,20.1,1570,432.9,490
8680,20.3,292.7,452.9,232.5
8685,20.2,322.7,490,530
8690,11.6,270,257.5,340
8695,20.2,240,292.5,300
8700,11.5,1582.7,265.4,380
8705,20.3,1542.7,117.9,400
8710,11.5,315.4,320,260
8715,11.5,245.4,440,440
8720,11.5,225.4,302.5,292.5
8725,20.2,302.7,332.5,430
8730,20.2,1580,425.4,352.5
8735,11.5,272.7,373,392.5
8740,11.6,240,327.9,380
8745,11.5,1532.7,370,470
8750,11.5,300,383,410
8755,11.4,252.7,350,370
8760,11.5,1482.7,455.8,480
8765,20.3,1540,325.9,442.5
8770,20.1,1542.7,348,300
8775,20.3,255.4,345.4,342.5
8780,11.4,270,205.4,410
8785,11.4,312.7,202.5,342.5
8790,20.2,1470,435.5,220
8795,20.2,252.7,572.5,390
8800,11.4,1610,580,290
8805,20.3,1540,472.5,420
8810,20.2,1630,365.5,350
8815,11.4,300,185.9,360
8820,20.3,320,405,590
8825,11.3,290,372.5,410
8830,20.1,1500,412.5,470
8835,20.2,400,475.4,280
8840,20.2,250,325.5,512.5
8845,20.2,1620,442.5,602.5
8850,11.4,342.7,392.5,400
8855,20.3,1640,427.5,500
8860,20.3,1600,385.5,260
8865,11.3,340,490,500
8870,11.5,330,470,400
8875,11.5,1632.7,318,570
8880,20.1,270,497.5,412.5
8885,11.5,390,470,400
8890,20.2,350,320,592.5
8895,20.3,282.7,205.4,340
8900,11.4,390,355,360
8905,11.3,360,372.5,350
8910,20.1,292.7,285,300
8915,11.4,392.7,332.5,422.5
8920,20.3,420,392.9,270
8925,11.4,1610,292.5,320
8930,20.2,1562.7,258.3,470
8935,11.4,392.7,545,380
8940,11.5,300,385.5,620
8945,20.3,380,313,230
8950,11.4,412.7,248.3,542.5
8955,20.2,220,462.5,292.5
8960,11.5,232.7,230,200
8965,11.3,270,260,390
8970,20.2,412.7,472.5,320
8975,11.4,240,222.9,202.5
8980,11.5,330,225.4,380
8985,11.4,260,255,1752.5
8990,11.4,1620,70,390
8995,20.3,410,298.3,540
9000,11.3,1562.7,222.5,1742.5
9005,20.2,360,168,432.5
9010,20.1,340,202.5,570
9015,20.2,1610,452.9,1710
9020,11.6,1532.7,382.5,322.5
9025,20.2,370,490,410
9030,11.5,202.7,363,410
9035,11.4,360,383,1760
9040,11.4,1540,390,282.5
9045,11.6,1650,225,332.5
9050,20.1,340,208,400
9055,20.2,330,300,420
9060,20.3,192.7,402.5,250
9065,11.5,270,285.5,460
9070,20.1,1500,380,302.5
9075,20.3,1516.1,492.5,220
9080,20.3,1530,395.5,342.5
9085,20.2,272.7,210.5,480
9090,11.5,1610,293,300
9095,20.3,360,192.9,410
9100,11.5,323.4,435.4,360
9105,11.7,340,265.4,310
9110,11.4,240,425.4,360
9115,11.3,260,240,1520
9120,11.3,272.7,180,1710
9125,11.2,290,552.5,450
9130,20.3,1540,255.9,1780
9135,20.2,270,452.5,272.5
9140,11.4,282.7,510,1630
9145,20.1,230,352.5,492.5
9150,20.1,1620,195,510
9155,11.4,1503.4,415.4,230
9160,20.2,1493.4,330,1630
9165,20.2,1550,372.9,620
9170,11.4,303.4,310,562.5
9175,11.4,252.7,485.8,402.5
9180,11.4,220,510,272.5
9185,20.3,252.7,450,530
9190,11.4,1502.7,302.5,510
9195,20.1,273.4,197.9,552.5
9200,20.1,1503.4,400,352.5
9205,20.1,1536.1,337.9,1680
9210,20,252.7,320,440
9215,20.2,230,425.4,462.5
9220,20.2,260,522.5,410
9225,20.1,272.7,400,370
9230,11.4,260,395,442.5
9235,20.3,203.4,402.5,402.5
9240,20.3,250,345.5,550
9245,20.3,243.4,287.5,400
9250,20.2,270,305.4,450
9255,11.3,253.4,365.5,422.5
9260,20.1,310,520,270
9265,20.1,330,422.9,1612.5
9270,11.6,242.7,305,690
9275,11.6,1486.3,432.5,1720
9280,11.5,1545.6,305,1720
9285,11.5,242.9,492.5,420
9290,11.6,242.7,253,362.5
