Iterations,Average Moves L,Average Moves O,Average Moves R,R Moves w/ Full Restart
1240,202.7,120,132.5,292.9
1245,382.7,172.7,282.5,252.5
1250,360,140,210,315.4
1255,310,140,432.5,292.5
1260,302.7,140,265,125
1265,410,150,335,225
1270,300,150,125.6,197.5
1275,302.7,120,305,90.4
1280,320,172.7,180,130.8
1285,220,92.7,248.1,340.4
1290,230,120,363.1,207.5
1295,240,200,98,285.6
1300,280,132.7,232.5,242.9
1305,310,120,292.5,165
1310,270,140,368.6,345.4
1315,370,160,352.5,370
1320,260,120,322.5,282.5
1325,310,160,340.5,218.5
1330,252.7,142.7,262.5,290
1335,270,160,375,125.4
1340,282.7,162.7,272.5,262.5
1345,220,170,105,422.9
1350,290,120,152.5,205.4
1355,320,102.7,195.6,187.5
1360,302.7,140,107.5,373.1
1365,252.7,100,490,245.4
1370,350,140,105,350
1375,262.7,152.7,425.6,197.9
1380,320,120,270,212.5
1385,270,150,230,340
1390,340,140,198.6,230
1395,250,150,188.1,198.1
1400,310,162.7,205,120.4
1405,260,140,367.5,240
1410,280,140,160.5,377.5
1415,200,170,215,345
1420,310,172.7,153.6,290
1425,270,160,283,307.9
1430,232.7,132.7,237.5,297.5
1435,330,180,330,147.5
1440,292.7,92.7,372.5,152.5
1445,250,112.7,295,342.5
1450,380,140,195,317.5
1455,320,180,237.5,237.9
1460,240,162.7,233,112.5
1465,280,160,272.5,335
1470,310,180,205,322.5
1475,290,120,168,210.8
1480,242.7,150,335,452.9
1485,260,120,295,205.4
1490,280,132.7,302.5,205
1495,322.7,160,255.5,422.9
1500,400,140,292.5,400.4
1505,290,142.7,285.5,107.5
1510,240,180,305,212.5
1515,272.7,190,90,135
1520,202.7,190,175,470
1525,320,120,167.5,310
1530,450,180,305,265.4
1535,282.7,112.7,175,362.5
1540,290,140,390,285
1545,222.7,152.7,175.5,250
1550,272.7,240,185,115.4
1555,420,140,105,110.8
1560,250,92.7,262.5,385.4
1565,382.7,170,215,165
1570,322.7,230,225,340
1575,350,120,165,480
1580,312.7,112.7,295,232.5
1585,300,132.7,203,262.5
1590,310,110,125,360
1595,290,140,252.5,265.4
1600,230,160,95,260
1605,290,170,115.5,280.4
1610,240,210,185.5,125.4
1615,300,152.7,152.5,257.9
1620,220,120,395,230
1625,300,160,105,242.5
1630,242.7,100,322.5,445
1635,290,150,380,267.5
1640,250,192.7,235,167.5
1645,340,140,137.5,327.5
1650,340,162.7,165,307.9
1655,242.7,160,250,292.5
1660,262.7,180,265,232.5
1665,310,112.7,215,205
1670,290,160,247.5,215
1675,330,172.7,255,280
1680,240,190,298,197.5
1685,370,120,287.5,122.9
1690,310,140,225,275.4
1695,220,120,197.5,320
1700,242.7,150,192.5,198.3
1705,232.7,170,270,145.4
1710,262.7,92.7,215,435
1715,272.7,132.7,212.5,250
1720,320,140,312.5,330
1725,220,112.7,272.5,220
1730,252.7,140,302.5,242.9
1735,310,100,170.5,90
1740,220,200,385,317.5
1745,362.7,140,365,275.4
1750,290,170,277.5,357.9
1755,250,160,260,215.4
1760,290,180,225,157.9
1765,300,132.7,290,365
1770,230,140,235,165.4
1775,310,160,315,175.4
1780,262.7,130,272.5,192.5
1785,210,120,245.5,412.5
1790,422.7,92.7,132.5,345
1795,302.7,160,382.5,350
1800,290,180,275,115.4
1805,190,130,175,345
1810,230,170,95,285
1815,320,122.7,132.5,180.4
1820,232.7,142.7,205,210.4
1825,200,162.7,275,335.4
1830,232.7,120,240,315
1835,400,132.7,365,162.5
1840,390,172.7,297.5,342.9
1845,280,140,372.5,237.9
1850,310,100,185,207.9
1855,372.7,132.7,267.5,232.5
1860,232.7,230,225.5,460
1865,250,160,70,272.9
1870,310,142.7,150.5,380
1875,310,112.7,217.5,365
1880,260,160,177.5,287.5
1885,300,140,167.5,280
1890,220,112.7,185,402.5
1895,210,112.7,422.5,185
1900,362.7,150,185,225
1905,290,170,100.5,352.5
1910,270,170,132.5,215
1915,270,152.7,255,137.5
1920,352.7,190,352.5,200
1925,240,130,108,312.5
1930,262.7,240,200,335
1935,232.7,180,280,212.9
1940,280,160,285,305.4
1945,360,190,255.5,225.4
1950,260,152.7,232.5,292.5
1955,190,102.7,327.5,305
1960,412.7,170,225,292.9
1965,320,170,322.5,257.9
1970,330,170,165,158.3
1975,370,122.7,185.5,195
1980,280,200,365,402.5
1985,310,160,402.5,340
1990,310,132.7,78,225.4
1995,400,220,115.5,195.4
2000,200,150,167.5,295
2005,390,170,220,160.4
2010,240,132.7,247.5,205.4
2015,310,180,122.5,280
2020,330,112.7,115,372.5
2025,340,190,258,322.9
2030,440,140,255,140
2035,220,210,143,155.4
2040,280,150,150,310
2045,340,180,342.5,227.9
2050,270,170,70,272.9
2055,320,120,197.5,197.5
2060,222.7,130,157.5,487.5
2065,360,180,175,157.9
2070,440,180,155,132.9
2075,300,160,175,315.4
2080,280,132.5,212.5,280
2085,420,150,292.5,245.4
2090,350,250,187.5,140.8
2095,192.7,160,217.5,360
2100,410,160,187.5,202.5
2105,370,140,160.5,282.9
2110,320,160,265.5,140
2115,450,150,170,207.9
2120,270,160,280,493
2125,250,180,217.5,362.5
2130,270,180,382.5,215.4
2135,260,152.5,175.5,362.5
2140,280,220,360,390
2145,322.7,180,442.5,267.9
2150,252.7,190,295,335.8
2155,282.7,160,97.5,397.9
2160,162.7,160,193,243
2165,230,100,410,317.9
2170,240,120,162.5,255.4
2175,240,202.5,290,443
2180,330,150,217.5,338
2185,220,140,110,275.4
2190,330,230,137.5,245.8
2195,360,160,170,202.5
2200,232.7,230,282.5,122.9
2205,242.7,170,202.5,440
2210,300,110,340,270.4
2215,240,162.5,90,285
2220,340,210,242.5,328
2225,280,132.5,237.5,227.9
2230,250,170,275,533
2235,320,152.5,255,515.8
2240,282.7,170,192.5,282.9
2245,260,140,110,470
2250,280,140,345,227.9
2255,280,170,182.5,315.4
2260,222.7,130,465,155.4
2265,300,172.5,235,250
2270,372.7,180,162.5,302.5
2275,312.7,172.5,107.5,280.8
2280,210,200,62.5,370
2285,240,132.5,422.5,202.9
2290,340,152.5,155,382.5
2295,390,142.5,165,307.9
2300,260,190,185,300
2305,300,140,92.5,352.5
2310,250,132.5,152.5,425.5
2315,420,120,170,340.4
2320,260,162.5,372.5,275.4
2325,240,130,240,347.9
2330,310,122.5,350,315
2335,260,210,165,247.9
2340,170,160,275,140.9
2345,420,122.5,322.5,265
2350,380,180,247.5,402.5
2355,412.7,180,202.5,240
2360,351.6,160,165,200.9
2365,290,150,245,320.5
2370,440,220,315,265.4
2375,290,170,177.5,238
2380,400,170,257.5,292.9
2385,161.4,132.5,480,328
2390,381.4,140,470,178.4
2395,382.7,210,302.5,507.9
2400,261.4,170,157.5,267.9
2405,242.7,180,252.5,370
2410,264.1,160,255,262.5
2415,340,140,107.5,325.5
2420,350,92.5,260,405.9
2425,431.5,170,385,147.9
2430,272.7,102.5,147.5,475
2435,321.4,200,475,320.5
2440,280,170,267.5,293
2445,402.7,130,157.5,572.5
2450,242.7,170,315,352.9
2455,310,210,225,352.5
2460,201.5,200,297.5,132.5
2465,350,182.5,245,265
2470,322.7,172.5,192.5,172.9
2475,202.6,260,420,202.5
2480,340,140,382.5,387.9
2485,192.7,210,420,380
2490,312.7,170,305,402.5
2495,330,210,480,390
2500,161.5,210,375,380
2505,292.7,210,242.5,382.5
2510,212.9,180,185,420
2515,352.7,200,175,225
2520,300,300,182.5,232.5
2525,241.5,262.5,250,390
2530,311.5,240,290,290
2535,300,132.5,175,447.5
2540,360,100,232.5,522.5
2545,303.9,180,195,310
2550,221.5,142.5,250,225
2555,281.2,260,332.5,330
2560,222.7,190,352.5,440
2565,252.7,160,402.5,285
2570,233.9,240,402.5,432.5
2575,261.5,250,237.5,212.5
2580,351.5,150,215,367.9
2585,351.5,190,240,265
2590,341.5,170,267.5,222.9
2595,250,170,255,215.4
2600,202.7,182.5,192.5,512.5
2605,460,170,265,442.5
2610,272.7,182.5,422.5,400
2615,231.5,190,102.5,320
2620,221.2,142.5,252.5,432.5
2625,211.2,190,235,295
2630,350,182.5,117.5,235
2635,240,150,162.5,395
2640,430,232.5,240,302.5
2645,390,210,235,312.9
2650,392.7,210,235,270
2655,360,180,302.5,245.4
2660,332.7,160,115,195.4
2665,341.2,150,242.5,437.5
2670,370,112.5,220,337.5
2675,401.5,150,272.5,300
2680,440,140,340,260
2685,391.5,210,140,372.5
2690,281.2,180,300,242.5
2695,401.5,160,372.5,252.5
2700,160,182.5,235,382.5
2705,440,260,202.5,197.5
2710,393.9,180,185,192.5
2715,371.5,120,152.5,192.5
2720,321.5,260,230,270
2725,380,190,192.5,235.5
2730,221.2,200,225,262.5
2735,350,210,215,262.9
2740,391.5,240,177.5,195.4
2745,402.7,132.5,350,300
2750,512.7,202.5,337.5,215.5
2755,380,170,200,265.5
2760,410,212.5,257.5,255.5
2765,271.2,190,292.5,238
2770,512.7,210,345,345
2775,210,222.5,205,222.5
2780,370,230,165,392.5
2785,220,210,307.5,212.5
2790,353.9,190,207.5,350
2795,351.4,192.5,155,515.4
2800,392.7,230,92.5,208
2805,271.4,210,492.5,465.4
2810,461.4,230,262.5,283
2815,291.2,210,180,322.5
2820,280,170,165,263
2825,460,252.5,447.5,255.4
