Iterations,Average Crashes L,Average Crashes O,Average Crashes R,Average Crashes R w/ Full Restart
2095,90,,,
2100,100,,,
2105,100,,,
2110,100,,,
2115,100,,,
2120,100,,,
2125,100,,,
2130,100,,,
2135,100,,,
2140,100,,,
2145,90,,,
2150,90,,,
2155,90,,,
2160,90,,,
2165,100,,,
2170,100,,,
2175,100,,,
2180,100,,,
2185,100,,,
2190,100,,,
2195,100,,,
2200,90,,,
2205,90,,,
2210,100,,,
2215,100,,,
2220,100,,,
2225,100,,,
2230,100,,,
2235,100,,,
2240,90,,,
2245,100,,,
2250,100,,,
2255,100,,,
2260,90,,,
2265,100,,,
2270,90,,,
2275,90,,,
2280,100,,,
2285,100,,,
2290,100,,,
2295,100,,,
2300,100,,,
2305,100,,,
2310,100,,,
2315,100,,,
2320,100,,,
2325,100,,,
2330,100,,,
2335,100,,,
2340,100,,,
2345,100,,,
2350,100,,,
2355,90,,,
2360,90,,,
2365,100,,,
2370,100,,,
2375,100,,,
2380,100,,,
2385,90,,,
2390,90,,,
2395,90,,,
2400,90,,,
2405,90,,,
2410,80,,,
2415,100,,,
2420,100,,,
2425,90,,,
2430,90,,,
2435,90,,,
2440,100,,,
2445,90,,,
2450,90,,,
2455,100,,,
2460,90,,,
2465,100,,,
2470,90,,,
2475,80,,,
2480,100,,,
2485,80,,,
2490,80,,,
2495,100,,,
2500,90,,,
2505,80,,,
2510,80,,,
2515,90,,,
2520,100,,,
2525,90,,,
2530,90,,,
2535,100,,,
2540,100,,,
2545,80,,,
2550,90,,,
2555,90,,,
2560,90,,,
2565,90,,,
2570,80,,,
2575,90,,,
2580,90,,,
2585,90,,,
2590,90,,,
2595,100,,,
2600,80,,,
2605,100,,,
2610,90,,,
2615,90,,,
2620,90,,,
2625,90,,,
2630,100,,,
2635,100,,,
2640,100,,,
2645,100,,,
2650,90,,,
2655,100,,,
2660,90,,,
2665,90,,,
2670,100,,,
2675,90,,,
2680,100,,,
2685,90,,,
2690,90,,,
2695,90,,,
2700,100,,,
2705,100,,,
2710,80,,,
2715,90,,,
2720,90,,,
2725,100,,,
2730,90,,,
2735,100,,,
2740,90,,,
2745,90,,,
2750,90,,,
2755,100,,,
2760,100,,,
2765,90,,,
2770,90,,,
2775,100,,,
2780,100,,,
2785,100,,,
2790,80,,,
2795,90,,,
2800,90,,,
2805,90,,,
2810,90,,,
2815,90,,,
2820,100,,,
2825,100,,,
2830,100,,,
2835,90,,,
2840,90,,,
2845,100,,,
2850,100,,,
2855,90,,,
2860,100,,,
2865,90,,,
2870,90,,,
2875,100,,,
2880,90,,,
2885,90,,,
2890,100,,,
2895,100,,,
2900,90,,,
2905,80,,,
2910,100,,,
2915,80,,,
2920,90,,,
2925,90,,,
2930,90,,,
2935,100,,,
2940,90,,,
2945,90,,,
2950,90,,,
2955,100,,,
2960,90,,,
2965,80,,,
2970,80,,,
2975,90,,,
2980,100,,,
2985,90,,,
2990,100,,,
2995,90,,,
3000,80,,,
3005,70,,,
3010,90,,,
3015,90,,,
3020,90,,,
3025,100,,,
3030,80,,,
3035,80,,,
3040,90,,,
3045,90,,,
3050,80,,,
3055,70,,,
3060,80,,,
3065,80,,,
3070,70,,,
3075,80,,,
3080,100,,,
3085,60,,,
3090,50,,,
3095,90,,,
3100,80,,,
3105,80,,,
3110,90,,,
3115,70,,,
3120,90,,,
3125,90,,,
3130,90,,,
3135,80,,,
3140,60,,,
3145,90,,,
3150,80,,,
3155,80,,,
3160,80,,,
3165,70,,,
3170,70,,,
3175,80,,,
3180,90,,,
3185,80,,,
3190,60,,,
3195,80,,,
3200,90,,,
3205,80,,,
3210,70,,,
3215,60,,,
3220,60,,,
3225,80,,,
3230,80,,,
3235,80,,,
3240,80,,,
3245,70,,,
3250,70,,,
3255,80,,,
3260,70,,,
3265,90,,,
3270,80,,,
3275,70,,,
3280,90,,,
3285,70,,,
3290,80,,,
3295,80,,,
3300,80,,,
3305,90,,,
3310,90,,,
3315,80,,,
3320,60,,,
3325,90,,,
3330,70,,,
3335,90,,,
3340,70,,,
3345,90,,,
3350,70,,,
3355,100,,,
3360,80,,,
3365,90,,,
3370,90,,,
3375,80,,,
3380,90,,,
3385,100,,,
3390,100,,,
3395,80,,,
3400,90,,,
3405,80,,,
3410,60,,,
3415,80,,,
3420,90,,,
3425,60,,,
3430,70,,,
3435,70,,,
3440,60,,,
3445,70,,,
3450,80,,,
3455,80,,,
3460,80,,,
3465,80,,,
3470,90,,,
3475,70,,,
3480,100,,,
3485,80,,,
3490,80,,,
3495,80,,,
3500,70,,,
3505,80,,,
3510,80,,,
3515,60,,,
3520,90,,,
3525,90,,,
3530,70,,,
3535,80,,,
3540,100,,,
3545,90,,,
3550,70,,,
3555,80,,,
3560,90,,,
3565,80,,,
3570,80,,,
3575,60,,,
3580,80,,,
3585,90,,,
3590,80,,,
3595,80,,,
3600,60,,,
3605,70,,,
3610,80,,,
3615,80,,,
3620,80,,,
3625,70,,,
3630,60,,,
3635,80,,,
3640,70,,,
3645,60,,,
3650,60,,,
3655,70,,,
3660,80,,,
3665,90,,,
3670,80,,,
3675,40,,,
3680,80,,,
3685,50,,,
3690,70,,,
3695,60,,,
3700,60,,,
3705,90,,,
3710,80,,,
3715,60,,,
3720,80,,,
3725,80,,,
3730,50,,,
3735,90,,,
3740,90,,,
3745,90,,,
3750,70,,,
3755,70,,,
3760,90,,,
3765,90,,,
3770,50,,,
3775,80,,,
3780,60,,,
3785,70,,,
3790,80,,,
3795,70,,,
3800,70,,,
3805,80,,,
3810,70,,,
3815,70,,,
3820,50,,,
3825,40,,,
3830,80,,,
3835,90,,,
3840,60,,,
3845,60,,,
3850,60,,,
3855,60,,,
3860,60,,,
3865,80,,,
3870,90,,,
3875,80,,,
3880,80,,,
3885,70,,,
3890,60,,,
3895,80,,,
3900,50,,,
3905,60,,,
3910,90,,,
3915,90,,,
3920,70,,,
3925,70,,,
3930,90,,,
3935,70,,,
3940,90,,,
3945,90,,,
3950,70,,,
3955,50,,,
3960,80,,,
3965,60,,,
3970,70,,,
3975,70,,,
3980,90,,,
3985,60,,,
3990,60,,,
3995,80,,,
4000,70,,,
4005,50,,,
4010,60,,,
4015,70,,,
4020,70,,,
4025,60,,,
4030,40,,,
4035,60,,,
4040,60,,,
4045,40,,,
4050,50,,,
4055,50,,,
4060,60,,,
4065,60,,,
4070,60,,,
4075,40,,,
4080,50,,,
4085,40,,,
4090,50,,,
4095,40,,,
4100,60,,,
4105,80,,,
4110,50,,,
4115,70,,,
4120,60,,,
4125,50,,,
4130,70,,,
4135,60,,,
4140,30,,,
4145,60,,,
4150,60,,,
4155,60,,,
4160,60,,,
4165,60,,,
4170,40,,,
4175,50,,,
4180,60,,,
4185,50,,,
4190,40,,,
4195,40,,,
4200,70,,,
4205,50,,,
4210,80,,,
4215,30,,,
4220,50,,,
4225,70,,,
4230,60,,,
4235,60,,,
4240,30,,,
4245,30,,,
4250,40,,,
4255,60,,,
4260,30,,,
4265,40,,,
4270,40,,,
4275,50,,,
4280,70,,,
4285,50,,,
4290,50,,,
4295,50,,,
4300,60,,,
4305,70,,,
4310,40,,,
4315,60,,,
4320,40,,,
4325,60,,,
4330,50,,,
4335,60,,,
4340,60,,,
4345,70,,,
4350,60,,,
4355,60,,,
4360,60,,,
